Sample,Transect.ID,Individual ID,Year,Site,VisitNumber,Lat,Long,Collected,Transect,NetorPan,DateCollected,Type,SpeciesCode,GenusCode,Sex,RNA conc.,Virus_Type,Virus,Richness,EstRich_Asyp,EstRich_46,EstRich_183,EstRich_338,Abundance,Diversity,APME_ABUND,BOIM_ABUND,LASI_ABUND,PEPR_ABUND
1313,BC15C3,BC15C3N-59,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
592,BC15A2,BC15A2N-3,2015,BC,1,42.35073,-83.8556,squash,A,Net,7/24/2015,NON,PEPR,PEPO,F,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
615,BC15C2,BC15C2N-26,2015,BC,1,42.35073,-83.8556,squash,C,Net,7/24/2015,NON,PEPR,PEPO,M,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1261,BC15A3,BC15A3N-7,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,NON,PEPR,PEPO,M,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1264,BC15A3,BC15A3N-10,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,NON,PEPR,PEPO,F,99,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1301,BC15C3,BC15C3N-47,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,PEPR,PEPO,M,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1304,BC15C3,BC15C3N-50,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,PEPR,PEPO,M,34.8,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1256,BC15A3,BC15A3N-2,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1257,BC15A3,BC15A3N-3,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1274,BC15A3,BC15A3N-20,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,APIS,APME,APIS,F,326,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1290,BC15B3,BC15B3N-36,2015,BC,2,42.35073,-83.8556,squash,B,Net,8/2/2015,APIS,APME,APIS,F,510,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1293,BC15B3,BC15B3N-39,2015,BC,2,42.35073,-83.8556,squash,B,Net,8/2/2015,APIS,APME,APIS,F,334,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1309,BC15C3,BC15C3N-55,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,BOIM,BOMB,F,too high,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1310,BC15C3,BC15C3N-56,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,BOIM,BOMB,F,452,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1312,BC15C3,BC15C3N-58,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,BOIM,BOMB,F,164,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
